symbol,hgnc_id,entrez_id
ACTBL2,17780,345651
ACTBP1,134,643309
ACTBP2,135,62
ACTBP3,136,63
ACTBP4,137,64
ACTBP6,139,66
ACTBP7,140,67
ACTBP8,141,68
ACTBP9,142,69
ACTBP10,31819,446207
ACTBP11,33971,644220
ACTBP12,150,100462767
ACTBP14,45086,389976
ACTBP15,55065,391334
ACTC1,143,70
ACTE1P,51491,399923
ACTG1,144,71
ACTG1P1,146,73
ACTG1P2,147,74
ACTG1P3,148,75
ACTG1P4,149,648740
ACTG1P6,151,78
ACTG1P7,152,79
ACTG1P8,153,80
ACTG1P9,154,82
ACTG1P10,155,83
ACTG1P11,37651,414754
ACTG1P12,44496,100418921
ACTG1P13,49058,100418920
ACTG1P14,49751,100418910
ACTG1P15,51495,100418951
ACTG1P16,51496,100418960
ACTG1P17,51497,283693
ACTG1P18,51498,100418924
ACTG1P19,51499,644160
ACTG1P20,51500,644961
ACTG1P21,51501,100131291
ACTG1P22,51502,100131953
ACTG1P23,51503,442097
ACTG1P24,49661,441783
ACTG1P25,54872,148709
ACTG2,145,72
ACTL6A,24124,86
ACTL6B,160,51412
ACTL7A,161,10881
ACTL7B,162,10880
ACTL8,24018,81569
ACTL9,28494,284382
ACTL10,16127,170487
ACTL11P,44626,389120
ACTN1,163,87
ACTN1-DT,20131,161159
ACTN2,164,88
ACTN3,165,89
ACTN4,166,81
ACTN4P1,44028,344978
ACTN4P2,44032,391026
ACTP1,51621,106480335
ACTR1A,167,10121
ACTR1AP1,54703,100287074
ACTR1B,168,10120
ACTR2,169,10097
ACTR3,170,10096
ACTR3-AS1,53965,101060091
ACTR3B,17256,57180
ACTR3BP1,37724,643050
ACTR3BP2,38677,440888
ACTR3BP3,38678,647156
ACTR3BP4,38681,777774
ACTR3BP5,38682,399746
ACTR3BP6,38683,644773
ACTR3BP7,54971,100289004
ACTR3C,37282,653857
ACTR3P1,31820,100288580
ACTR3P2,38676,100129013
ACTR3P3,38679,100128020
ACTR5,14671,79913
ACTR6,24025,64431
