A1BG,5
A1BG-AS1,37133
A1CF,24086
A2M,7
A2M-AS1,27057
A2ML1,23336
A2ML1-AS1,41022
A2ML1-AS2,41523
A2MP1,8
A3GALT2,30005
A4GALT,18149
A4GNT,17968
AAAS,13666
AACS,21298
AACSP1,18226
AADAC,17
AADACL2,24427
AADACL2-AS1,50301
AADACL3,32037
AADACL4,32038
AADACP1,50305
AADAT,17929
AAGAB,25662
AAK1,19679
AAMDC,30205
AAMP,18
AANAT,19
AAR2,15886
AARD,33842
AARS1,20
AARS1P1,49894
AARS2,21022
AARSD1,28417
AARSD1P1,54994
AASDH,23993
AASDHPPT,14235
AASS,17366
AATBC,51526
AATF,19235
AATK,21
AAVS1,22
ABALON,49667
ABAT,23
ABCA1,29
ABCA2,32
ABCA3,33
ABCA3P1,55707
ABCA4,34
ABCA5,35
ABCA6,36
ABCA7,37
ABCA8,38
ABCA9,39
ABCA9-AS1,39983
ABCA10,30
ABCA11P,31
ABCA12,14637
ABCA13,14638
ABCA17P,32972
ABCB1,40
ABCB4,45
ABCB5,46
ABCB6,47
ABCB7,48
ABCB8,49
ABCB9,50
ABCB10,41
ABCB10P1,14114
ABCB10P3,31129
ABCB10P4,31130
ABCB11,42
ABCC1,51
ABCC2,53
ABCC3,54
ABCC4,55
ABCC5,56
ABCC5-AS1,40055
ABCC6,57
ABCC6P1,33352
ABCC6P2,33353
ABCC8,59
ABCC9,60
ABCC10,52
ABCC11,14639
ABCC12,14640
ABCC13,16022
ABCD1,61
ABCD1P1,62
ABCD1P2,63
ABCD1P3,64
ABCD1P4,65
ABCD1P5,42662
ABCD2,66
ABCD3,67
ABCD4,68
ABCE1,69
ABCF1,70
ABCF1-DT,53628
ABCF2,71
ABCF2-H2BK1,54751
ABCF2P1,48841
ABCF2P2,48842
ABCF3,72
ABCG1,73
ABCG2,74
ABCG4,13884
ABCG5,13886
ABCG8,13887
ABHD1,17553
ABHD2,18717
ABHD3,18718
ABHD4,20154
ABHD5,21396
ABHD6,21398
ABHD8,23759
ABHD10,25656
ABHD11,16407
ABHD11-AS1,18289
ABHD12,15868
ABHD12B,19837
ABHD13,20293
ABHD14A,24538
ABHD14A-ACY1,38856
ABHD14B,28235
ABHD15,26971
ABHD15-AS1,49685
ABHD16A,13921
ABHD16B,16128
ABHD17A,28756
ABHD17AP1,28394
ABHD17AP3,34041
ABHD17AP4,34042
ABHD17AP5,34043
ABHD17AP6,34044
ABHD17AP7,38508
ABHD17AP8,38509
ABHD17AP9,38510
ABHD17B,24278
ABHD17C,26925
ABHD18,26111
ABI1,11320
ABI1P1,20035
ABI2,24011
ABI3,29859
ABI3BP,17265
ABITRAM,1364
ABITRAMP1,39851
ABL1,76
ABL2,77
ABLIM1,78
ABLIM2,19195
ABLIM3,29132
ABO,79
ABR,81
ABR-AS1,55674
ABRA,30655
ABRACL,21230
ABRAXAS1,25829
ABRAXAS2,28975
ABT1,17369
ABT1P1,39557
ABTB1,18275
ABTB2,23842
ACAA1,82
ACAA2,83
ACAA2P1,55880
ACACA,84
ACACB,85
ACAD8,87
ACAD9,21497
ACAD10,21597
ACAD11,30211
ACADL,88
ACADM,89
ACADS,90
ACADSB,91
ACADVL,92
ACAN,319
ACAP1,16467
ACAP2,16469
ACAP2-IT1,41426
ACAP3,16754
ACAT1,93
ACAT2,94
ACBD3,15453
ACBD3-AS1,40701
ACBD4,23337
ACBD5,23338
ACBD6,23339
ACBD7,17715
ACCS,23989
ACCSL,34391
ACD,25070
ACE,2707
ACE2,13557
ACE3P,44365
ACER1,18356
ACER2,23675
ACER2P1,54674
ACER3,16066
ACHE,108
ACIN1,17066
ACKR1,4035
ACKR2,1565
ACKR3,23692
ACKR4,1611
ACKR4P1,21142
ACLY,115
ACMSD,19288
ACNATP,34504
ACO1,117
ACO2,118
ACOD1,33904
ACOT1,33128
ACOT2,18431
ACOT4,19748
ACOT6,33159
ACOT7,24157
ACOT8,15919
ACOT9,17152
ACOT11,18156
ACOT12,24436
ACOT13,20999
ACOX1,119
ACOX2,120
ACOX3,121
ACOXL,25621
ACOXL-AS1,41112
ACP1,122
ACP2,123
ACP3,125
ACP4,14376
ACP5,124
ACP6,29609
ACP7,33781
ACR,126
ACRBP,17195
ACRP1,54745
ACRV1,127
ACSBG1,29567
ACSBG2,24174
ACSF2,26101
ACSF3,27288
ACSL1,3569
ACSL3,3570
ACSL3-AS1,40227
ACSL4,3571
ACSL5,16526
ACSL6,16496
ACSL6-AS1,40772
ACSM1,18049
ACSM2A,32017
ACSM2B,30931
ACSM3,10522
ACSM4,32016
ACSM5,26060
ACSM5P1,51295
ACSM6,31665
ACSS1,16091
ACSS2,15814
ACSS3,24723
ACTA1,129
ACTA2,130
ACTA2-AS1,45169
ACTB,132
ACTBL2,17780
ACTBP1,134
ACTBP2,135
ACTBP3,136
ACTBP4,137
ACTBP6,139
ACTBP7,140
ACTBP8,141
ACTBP9,142
ACTBP10,31819
ACTBP11,33971
ACTBP12,150
ACTBP14,45086
ACTBP15,55065
ACTC1,143
ACTE1P,51491
ACTG1,144
ACTG1P1,146
ACTG1P2,147
ACTG1P3,148
ACTG1P4,149
ACTG1P6,151
ACTG1P7,152
ACTG1P8,153
ACTG1P9,154
ACTG1P10,155
ACTG1P11,37651
ACTG1P12,44496
ACTG1P13,49058
ACTG1P14,49751
ACTG1P15,51495
ACTG1P16,51496
ACTG1P17,51497
ACTG1P18,51498
ACTG1P19,51499
ACTG1P20,51500
ACTG1P21,51501
ACTG1P22,51502
ACTG1P23,51503
ACTG1P24,49661
ACTG1P25,54872
ACTG2,145
ACTL6A,24124
ACTL6B,160
ACTL7A,161
ACTL7B,162
ACTL8,24018
ACTL9,28494
ACTL10,16127
ACTL11P,44626
ACTN1,163
ACTN1-DT,20131
ACTN2,164
ACTN3,165
ACTN4,166
ACTN4P1,44028
ACTN4P2,44032
ACTP1,51621
ACTR1A,167
ACTR1AP1,54703
ACTR1B,168
ACTR2,169
ACTR3,170
ACTR3-AS1,53965
ACTR3B,17256
ACTR3BP1,37724
ACTR3BP2,38677
ACTR3BP3,38678
ACTR3BP4,38681
ACTR3BP5,38682
ACTR3BP6,38683
ACTR3BP7,54971
ACTR3C,37282
ACTR3P1,31820
ACTR3P2,38676
ACTR3P3,38679
ACTR5,14671
ACTR6,24025
ACTR6P1,44210
ACTR8,14672
ACTR10,17372
ACTRT1,24027
ACTRT1P1,55127
ACTRT2,24026
ACTRT3,24022
ACVR1,171
ACVR1B,172
ACVR1C,18123
ACVR2A,173
ACVR2B,174
ACVR2B-AS1,44161
ACVRL1,175
ACY1,177
ACY3,24104
ACYP1,179
ACYP2,180
ADA,186
ADA2,1839
ADAD1,30713
ADAD1P1,44550
ADAD1P2,44552
ADAD2,30714
ADAL,31853
ADAM1A,187
ADAM1B,44366
ADAM2,198
ADAM3A,209
ADAM3B,210
ADAM5,212
ADAM6,213
ADAM7,214
ADAM8,215
ADAM9,216
ADAM10,188
ADAM11,189
ADAM12,190
ADAM15,193
ADAM17,195
ADAM18,196
ADAM19,197
ADAM20,199
ADAM20P1,20102
ADAM20P2,43901
ADAM20P3,43902
ADAM21,200
ADAM21P1,19822
ADAM22,201
ADAM23,202
ADAM24P,203
ADAM28,206
ADAM29,207
ADAM30,208
ADAM32,15479
ADAM33,15478
ADAMDEC1,16299
ADAMTS1,217
ADAMTS2,218
ADAMTS3,219
ADAMTS4,220
ADAMTS5,221
ADAMTS6,222
ADAMTS7,223
ADAMTS7P1,49407
ADAMTS7P3,49409
ADAMTS7P4,49410
ADAMTS8,224
ADAMTS9,13202
ADAMTS9-AS1,40625
ADAMTS9-AS2,42435
ADAMTS10,13201
ADAMTS12,14605
ADAMTS13,1366
ADAMTS14,14899
ADAMTS15,16305
ADAMTS16,17108
ADAMTS16-DT,55548
ADAMTS17,17109
ADAMTS18,17110
ADAMTS19,17111
ADAMTS19-AS1,40797
ADAMTS20,17178
ADAMTSL1,14632
ADAMTSL2,14631
ADAMTSL3,14633
ADAMTSL4,19706
ADAMTSL4-AS1,32041
ADAMTSL4-AS2,40895
ADAMTSL5,27912
ADAP1,16486
ADAP2,16487
ADAR,225
ADARB1,226
ADARB2,227
ADARB2-AS1,23299
ADAT1,228
ADAT2,21172
ADAT3,25151
ADCK1,19038
ADCK2,19039
ADCK5,21738
ADCP1,229
ADCY1,232
ADCY2,233
ADCY3,234
ADCY4,235
ADCY5,236
ADCY6,237
ADCY6-DT,53332
ADCY7,238
ADCY8,239
ADCY9,240
ADCY10,21285
ADCY10P1,44143
ADCYAP1,241
ADCYAP1R1,242
ADD1,243
ADD2,244
ADD3,245
ADD3-AS1,48682
ADGB,21212
ADGB-DT,55654
ADGRA1,13838
ADGRA1-AS1,49543
ADGRA2,17849
ADGRA3,13839
ADGRA3P1,55918
ADGRB1,943
ADGRB2,944
ADGRB3,945
ADGRB3-DT,55774
ADGRD1,19893
ADGRD1-AS1,53314
ADGRD2,18651
ADGRE1,3336
ADGRE2,3337
ADGRE3,23647
ADGRE4P,19240
ADGRE5,1711
ADGRF1,18990
ADGRF2,18991
ADGRF3,18989
ADGRF4,19011
ADGRF5,19030
ADGRF5-AS1,40864
ADGRF5P1,32922
ADGRF5P2,32921
ADGRG1,4512
ADGRG2,4516
ADGRG3,13728
ADGRG4,18992
ADGRG5,19010
ADGRG6,13841
ADGRG7,19241
ADGRL1,20973
ADGRL1-AS1,55309
ADGRL2,18582
ADGRL3,20974
ADGRL3-AS1,50604
ADGRL4,20822
ADGRV1,17416
ADH1A,249
ADH1B,250
ADH1C,251
ADH4,252
ADH5,253
ADH5P2,22976
ADH5P3,22991
ADH5P4,21377
ADH5P5,54523
ADH6,255
ADH7,256
ADHFE1,16354
ADI1,30576
ADI1P1,52339
ADI1P2,52340
ADI1P3,52341
ADIG,28606
ADIPOQ,13633
ADIPOQ-AS1,40648
ADIPOR1,24040
ADIPOR1P1,44910
ADIPOR1P2,44911
ADIPOR2,24041
ADIRF,24043
ADIRF-AS1,45127
ADK,257
ADM,259
ADM-DT,55516
ADM2,28898
ADM5,27293
ADNP,15766
ADNP-AS1,51227
ADNP2,23803
ADO,23506
ADORA1,262
ADORA2A,263
ADORA2A-AS1,37122
ADORA2B,264
ADORA2BP1,265
ADORA3,268
ADPGK,25250
ADPGK-AS1,44144
ADPRH,269
ADPRHL1,21303
ADPRM,30925
ADPRS,21304
ADRA1A,277
ADRA1B,278
ADRA1D,280
ADRA2A,281
ADRA2B,282
ADRA2C,283
ADRB1,285
ADRB2,286
ADRB3,288
ADRM1,15759
ADSL,291
ADSS1,20093
