MT_iCHOv1_final,MT_iHsa,MT_iMM1415,MT_iRno,MT_recon_1,MT_recon_2_2_entrez
100689176,11219,11611,117261,116285,6533
100772617,11232,269378,117267,116369,6534
100771829,11238,229709,117276,116369,6535
100757803,11240,15211,117278,117247,6536
100761922,112476,15212,117533,117248,6541
100770731,112483,108147,117543,117283,56301
100689315,11253,67054,117544,1178,23657
100760895,11254,67863,117554,118881,6542
100767052,112611,114644,117558,121278,84889
100770833,11277,77337,117596,122481,8140
100752285,112817,83702,117955,122622,9057
100689464,11282,208665,140447,122622,9056
100774298,11283,20514,140448,123041,23428
100689220,11284,55963,140544,123041,11136
100765026,11285,17254,140547,123041.3,6546
100765404,113,53896,140607,124,6543
100760799,113026,114863,140608,124583,6547
100765653,11309,11656,140638,124637,6548
100766001,11316,26912,140668,124935,6549
100771487,113189,11655,140669,125,6550
100771780,11320,108682,140671,125206,389015
100759060,113235,76282,140693,125965,6553
100761164,11332,11988,140860,126,6609
100755796,11343,105727,140866,126129,6610
100762019,113451,11989,140868,126328,6611
100767335,113452,11987,140910,126792,6646
100750672,113612,56774,140915,127,8435
100754900,113675,67760,140925,127124,6647
100755962,114,69354,140944,127124,6648
100760402,114112,76257,140946,128,6649
100757051,114134,209837,154985,128869,6652
100757917,114571,58810,155192,129807,686
100773231,114770,11650,155205,13,8877
s0001,114771,76768,156275,130,6697
100755213,1149,11647,157074,130013,10558
100769905,115,11684,170465,130752,9517
100764546,115019,11686,170509,131,6713
100765887,115024,11687,170551,1312,6715
100759612,115111,11688,170566,1312,6716
100763633,1152,11689,170567,131669,6723
100773003,115286,11677,170570,132,6783
100774258,1155,110198,170573,132,412
100766754,115584,17117,170587,1327,8803
100767558,1158,50798,170588,132789,8802
100759262,1159,67582,170635,1329,8801
100752129,1160,109674,170667,1337,6817
100765865,116085,11717,170670,1339,6799
100774950,116179,229665,170699,1340,6818
100754190,116255,16790,170818,1345,6822
100765567,116285,280,170840,134526,6820
100774029,116369,100043684,170897,1346,6821
100764508,116519,11722,170898,1347,6839
100770310,116969,30962,170911,1349,47
100750908,117247,20532,170919,1350,8867
100756706,117283,66401,170924,1351,8871
100773299,119391,242669,170943,135152,6888
100761956,119548,330836,171015,1371,6898
100752981,1200,11846,171028,1373,6916
100758999,120103,11847,171049,1373,10312
100750825,120227,109900,171053,1374,48
100753506,1208,11898,171072,1375,6999
100770570,121278,83885,171079,1375,7054
100774864,1215,18408,171080,1375.3,50
100767281,122481,11883,171082,1375.4,7083
100766656,122618,11886,171087,1376,7084
100769228,122622,54338,171088,137872,7086
100769616,122830,20522,171115,137964,8277
100770888,122970,66514,171133,1384,7108
100759273,123,27053,171135,1384,51
100751558,123041,69719,171142,1384.3,8309
100772598,123096,242607,171144,140679,7166
100760137,123099,20511,171147,142680,7167
100758981,123263,20512,171148,1431,7173
100761450,123264,20510,171151,1431,7177
100774471,123283,20513,171155,144195,8310
100758335,123688,12497,171162,145226,52
100752599,123745,12499,171163,1468,11181
100770342,123803,215446,171178,1491,53
100768567,123876,12496,171341,1491,7263
100762692,124,12495,171347,15,7264
100773918,1244,11958,171352,1503,54
100773344,124454,18195,171373,151531,7296
100750886,124583,11947,171374,1537,7298
100770901,124637,514,171375,154091,7299
100766143,124935,11950,171385,1543,7306
100763775,124975,66043,171397,1544,6675
100767384,125,100039108,171400,1545,55
100750430,125061,11946,171402,1548,7350
100765522,125206,10476,171408,1551,7351
100768667,125965,57423,171410,155184,7352
100757617,125981,627998,171445,1553,7357
100767730,126,228033,171458,1557,7358
100750437,126129,11957,171496,1558,7360
100773217,126410,11949,171516,1558,54658
100751159,1267,11951,171518,1559,54575
100764745,126792,21871,171522,1562,54659
100771685,126969,110935,171525,1565,54657
100768413,127,11974,171566,1571,54579
100757367,127124,11964,171572,1572,54578
100760313,128,66290,191569,157506,54577
100773077,128486,114143,191574,1576,54576
100753604,128869,140494,191575,1577,54600
100760718,129607,242341,191576,1579,7365
100758209,129642,68775,192172,158,10720
100763191,13,73834,192178,158,7366
100763478,130,66335,192208,1581,7367
100771378,130013,27060,192215,1582,7363
100757379,130367,11975,192227,1583,7364
100765669,130589,11973,192241,1584,7368
100755928,130752,66144,192242,1585,7371
100757298,131,74915,192252,1586,7372
100689320,1312,11966,192259,1588,7378
100757585,1314,11972,192260,1588,7381
100766142,1315,11984,192263,1589,7384
100768229,131669,338375,192268,159,7385
100769981,1317,108664,192270,1591,7386
100759611,131890,66237,192272,1593,7388
100761317,132,11740,192273,1594,7389
